label,statement,cleaned_statement,label_encoded,binary_label
barely-true,"Says Howard Zinn, an anti-American Marxist, wrote the most popular textbook thats taught in our high schools in America.",says howard zinn an antiamerican marxist wrote the most popular textbook thats taught in our high schools in america,0,0
mostly-true,Says Harry Reid has a better voting attendance record than these three Congressmen!,says harry reid has a better voting attendance record than these three congressmen,3,1
false,We now have more jobs in solar than we do in oil.,we now have more jobs in solar than we do in oil,1,0
barely-true,ISIS is now the predominantIslamist group in Benghazi.,isis is now the predominantislamist group in benghazi,0,0
mostly-true,As many as a quarter of our students arent even finishing high school.,as many as a quarter of our students arent even finishing high school,3,1
half-true,"In the Wisconsin health insurance exchange, the Society of Actuaries points out that therell be, according to them, an 82 percent increase in individual premiums over the next couple years under Obamacare.",in the wisconsin health insurance exchange the society of actuaries points out that therell be according to them an  percent increase in individual premiums over the next couple years under obamacare,2,1
false,Rick Perry is taking money away from hurricane victims and diverting it to remodel the Governors Mansion.,rick perry is taking money away from hurricane victims and diverting it to remodel the governors mansion,1,0
mostly-true,"Given how expansive our program already was, expanding Medicaid in New Jersey due to Obamacare was a relatively small expansion.",given how expansive our program already was expanding medicaid in new jersey due to obamacare was a relatively small expansion,3,1
mostly-true,"The reason why Cubans dont have access to 21st century telecommunications like smart phones, like access to the Internet is because it is illegal in Cuba.",the reason why cubans dont have access to st century telecommunications like smart phones like access to the internet is because it is illegal in cuba,3,1
half-true,"Since 2010, America has put more people back to work than Europe, Japan, and all advanced economies combined.",since  america has put more people back to work than europe japan and all advanced economies combined,2,1
half-true,Says Barack Obamas approval rating is right in the average for second-term presidents at this point.,says barack obamas approval rating is right in the average for secondterm presidents at this point,2,1
true,50% of Hispanic students count on Pell Grants to pay for college.,of hispanic students count on pell grants to pay for college,5,1
false,On George Allens U.S. senate candidacy.,on george allens us senate candidacy,1,0
half-true,"Says there are ample means to tell when someone is a Christian in the Middle East ... by name, by where theyre born, their birth certificates.",says there are ample means to tell when someone is a christian in the middle east  by name by where theyre born their birth certificates,2,1
barely-true,"In 2006, I went out and authored a letter with 24 other senators asking for major reform of Freddie and Fannie, warning of a meltdown and a bubble in the housing market.",in  i went out and authored a letter with  other senators asking for major reform of freddie and fannie warning of a meltdown and a bubble in the housing market,0,0
